OT_ID	Gene.Ontology.IDs
jg6162.t1	GO:0004252,GO:0005576,GO:0006508,GO:0007586,GO:0046872
jg7296.t1	GO:0000289,GO:0000932,GO:0001829,GO:0005634,GO:0005829,GO:0006355,GO:0030014,GO:0030015,GO:0031047,GO:0120162,GO:2000036
jg6213.t1	GO:0005737,GO:0006979,GO:0030091,GO:0046872,GO:0051409
jg5986.t1	GO:0005525,GO:0016887,GO:0042254
jg5349.t1	GO:0000049,GO:0005759,GO:0042780
jg6196.t1	GO:0004497,GO:0005506,GO:0005789,GO:0016705,GO:0020037
jg5625.t1	GO:0005524,GO:0005886,GO:0016887
jg6882.t1	GO:0005576,GO:0005886,GO:0008360,GO:0009252,GO:0015648,GO:0015836,GO:0034204
jg6295.t1	GO:0003676,GO:0003887,GO:0003964,GO:0004190,GO:0004519,GO:0006508,GO:0015074,GO:0042575
jg7169.t1	GO:0005654,GO:0005765,GO:0005829,GO:0005886,GO:0006865,GO:0015171,GO:0015185,GO:0043231,GO:0051939
jg7169.t2	GO:0005654,GO:0005765,GO:0005829,GO:0005886,GO:0006865,GO:0015171,GO:0015185,GO:0043231,GO:0051939
jg6929.t1	GO:0005654,GO:0006814,GO:0015129,GO:0015293,GO:0015718,GO:0016324,GO:0140161
jg6161.t1	GO:0004252,GO:0005576,GO:0006508
jg5935.t1	GO:0003677,GO:0003700,GO:0006355,GO:0097367,GO:1901135
jg6575.t1	GO:0005737,GO:0005739,GO:0005759,GO:0016491
jg5237.t1	GO:0000278,GO:0005737,GO:0005868,GO:0005874,GO:0007018,GO:0007286,GO:0008090,GO:0008340,GO:0030286,GO:0032991,GO:0042802,GO:0042803,GO:0045505,GO:0051959,GO:0097718,GO:1904115
jg6016.t1	GO:0004731,GO:0005737,GO:0009164,GO:0042278
jg6459.t1	GO:0000785,GO:0000978,GO:0000981,GO:0001228,GO:0003712,GO:0003713,GO:0005634,GO:0005654,GO:0005813,GO:0006355,GO:0006357,GO:0016605,GO:0016925,GO:0019789,GO:0031965,GO:0042802,GO:0043565,GO:0044828,GO:0045944,GO:0046872,GO:0046983,GO:0061665,GO:1990466,GO:1990837
jg5411.t1	GO:0001934,GO:0002215,GO:0005509,GO:0005615,GO:0005886,GO:0009624,GO:0042802,GO:0046326,GO:0070207,GO:0070492,GO:0098552
jg5397.t1	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0046872
jg6307.t1	GO:0004089,GO:0005737,GO:0005829,GO:0006730,GO:0008270,GO:0032230,GO:0032849,GO:0051453,GO:0070050,GO:2001225
jg6896.t1	GO:0004843,GO:0005634,GO:0005829,GO:0006508,GO:0016579,GO:0032435,GO:0042675,GO:0045742,GO:0045874,GO:0046628,GO:0050821,GO:0070374,GO:0090263
jg5382.t1	GO:0000253,GO:0001758,GO:0004090,GO:0005634,GO:0005739,GO:0005777,GO:0005778,GO:0005782,GO:0005789,GO:0005829,GO:0006066,GO:0008202,GO:0016655,GO:0018455,GO:0033703,GO:0042180,GO:0042574,GO:0042802,GO:0052650,GO:2000379
jg7327.t1	GO:0003677,GO:0032021,GO:0034244,GO:0046872
jg6353.t1	GO:0005737,GO:0005829,GO:0007605,GO:0031625
jg6042.t1	GO:0004069,GO:0005739,GO:0005759,GO:0005886,GO:0006533,GO:0009058,GO:0016212,GO:0030170
jg6821.t1	GO:0001701,GO:0005654,GO:0005737,GO:0005783,GO:0005829,GO:0005884,GO:0006355,GO:0006511,GO:0010506,GO:0016234,GO:0016567,GO:0030496,GO:0031463,GO:0034451,GO:0034599,GO:0042802,GO:0045604,GO:0061629,GO:0071353,GO:0097718,GO:1990756
jg7272.t1	GO:0004373,GO:0009011,GO:0009501,GO:0009507,GO:0019252,GO:0033201,GO:2001070
jg6536.t1	GO:0003333,GO:0005765,GO:0005774,GO:0005886,GO:0015171,GO:0015179,GO:0030424,GO:0030425,GO:0031090,GO:0031902,GO:0032536,GO:0036019,GO:0040008,GO:0043025,GO:0043204,GO:0048813,GO:0097484
m1-g4283.t1	NA
jg5575.t1	GO:0003391,GO:0005576,GO:0032590,GO:0043621,GO:1990138
jg5911.t1	GO:0000287,GO:0005737,GO:0006015,GO:0008973,GO:0009264,GO:0030145,GO:0043094
jg5267.t1	
jg6191.t1	GO:0005506,GO:0005789,GO:0010430,GO:0020037,GO:0102033
jg6235.t1	GO:0005739,GO:0005829,GO:0006457,GO:0019239,GO:0120242,GO:1901565
jg5842.t1	GO:0001786,GO:0003779,GO:0005546,GO:0005547,GO:0005856,GO:0005938,GO:0014069,GO:0022416,GO:0030027,GO:0030424,GO:0030425,GO:0030426,GO:0030427,GO:0030833,GO:0031594,GO:0045211,GO:0045773,GO:0045887,GO:0048812,GO:0051015,GO:0061003,GO:0061176,GO:0061177,GO:0072553,GO:0098974
jg6952.t1	GO:0000287,GO:0004674,GO:0004713,GO:0005524,GO:0005654,GO:0005737,GO:0006355,GO:0016310,GO:0035175,GO:0035556,GO:0043687,GO:0044022,GO:0044024,GO:0045892,GO:0045944,GO:0070498,GO:0099175,GO:0106310
jg5384.t1	GO:0003677,GO:0005634,GO:0006298,GO:0006310,GO:0008409,GO:0017108,GO:0035312,GO:0045145,GO:0046872,GO:0048256,GO:0051908
jg6469.t1	GO:0004930,GO:0005634,GO:0005886,GO:0007367,GO:0007435,GO:0007494,GO:0008045,GO:0008585,GO:0008587,GO:0016020,GO:0016055,GO:0016201,GO:0016477,GO:0017147,GO:0030165,GO:0031290,GO:0035206,GO:0035293,GO:0035567,GO:0042685,GO:0042813,GO:0048665,GO:0048675,GO:0050770,GO:0050808,GO:0060070,GO:0060250,GO:1990851,GO:1990909
jg6822.t1	GO:0016020
jg5388.t1	GO:0004674,GO:0005524,GO:0005737,GO:0005813,GO:0005929,GO:0007368,GO:0007507,GO:0009887,GO:0016310,GO:0035330,GO:0046872,GO:0097543,GO:0097546,GO:0106310
jg6319.t1	GO:0006979
jg5992.t1	GO:0005730,GO:0005829,GO:0016567,GO:0030018,GO:0043161,GO:0061630
jg5271.t1	GO:0001503,GO:0004930,GO:0005518,GO:0005886,GO:0007005,GO:0007166,GO:0007186,GO:0007189,GO:0007507,GO:0014037,GO:0019933,GO:0022011,GO:0032290,GO:0042552,GO:0043236,GO:0043583,GO:0048932,GO:0050840,GO:0060347,GO:0060879,GO:1903670
jg6599.t1	GO:0005524,GO:0005737,GO:0008340,GO:0016887,GO:0031072,GO:0042026,GO:0042594,GO:0044183,GO:0051085,GO:0140662
jg6805.t1	GO:0005654,GO:0006814,GO:0015129,GO:0015293,GO:0015718,GO:0016324,GO:0140161
jg6670.t1	GO:0008057,GO:0031083
jg5366.t1	GO:0043565
jg5461.t1	GO:0005739
m1-g4533.t1	GO:0005634,GO:0008270,GO:0046983
jg5436.t1	GO:0005886,GO:0016410,GO:0042158
jg7394.t1	GO:0001872,GO:0004553,GO:0005576,GO:0005975,GO:0045087
jg7251.t1	GO:0001694,GO:0001761,GO:0001762,GO:0005886
jg6903.t1	GO:0005774,GO:0043813,GO:0046856
jg7075.t1	GO:0002092,GO:0005615,GO:0005654,GO:0005765,GO:0005886,GO:0007160,GO:0009986,GO:0010008,GO:0015031,GO:0016477,GO:0031088,GO:0031902,GO:0031904,GO:0032585,GO:0035577,GO:0035646,GO:0042470,GO:0043231,GO:0048757,GO:0070062,GO:0097487,GO:1900746,GO:1901379,GO:2001046
jg5299.t1	GO:0000978,GO:0000981,GO:0003677,GO:0005634,GO:0006357,GO:0007380,GO:0009653,GO:0030154
jg7285.t1	GO:0001650,GO:0005654,GO:0005737,GO:0042327,GO:0043491,GO:0044342
jg6194.t1	GO:0005506,GO:0005789,GO:0020037,GO:0070330
jg7315.t1	GO:0016020
jg7332.t1	GO:0000049,GO:0003743,GO:0005737
jg6296.t1	GO:0016020,GO:0019031,GO:0020002,GO:0039654,GO:0046718,GO:0055036
jg5775.t1	GO:0003735,GO:0005762,GO:0032543
jg5249.t1	GO:0000981,GO:0005634,GO:0006355,GO:0006357,GO:0043565
jg6223.t1	GO:0005886,GO:0006807,GO:0016787,GO:0016811,GO:0019898,GO:0098552
jg5231.t1	GO:0005576,GO:0005829,GO:0008270,GO:0008340,GO:0042742,GO:0042834,GO:0045087,GO:0045089,GO:0050766,GO:0050829,GO:0050830,GO:0051607,GO:0061057
jg6917.t1	GO:0003382,GO:0003779,GO:0005829,GO:0005856,GO:0007015,GO:0007298,GO:0007303,GO:0007390,GO:0007391,GO:0007396,GO:0007409,GO:0007411,GO:0008258,GO:0010591,GO:0017124,GO:0030027,GO:0030036,GO:0030335,GO:0030424,GO:0030425,GO:0031252,GO:0031346,GO:0032433,GO:0032956,GO:0035262,GO:0045886,GO:0046847,GO:0048749,GO:0048813,GO:0051489,GO:0051491,GO:0060288,GO:0071212,GO:1990255
jg6525.t1	GO:0000287,GO:0003677,GO:0005634,GO:0005737,GO:0006259,GO:0006281,GO:0008296,GO:0008311,GO:0042803,GO:0060090
jg7227.t1	GO:0000086,GO:0000922,GO:0005737,GO:0005825,GO:0030474,GO:0051225,GO:0051301
jg5429.t1	GO:0005125,GO:0005615,GO:0005829,GO:0006952,GO:0006955,GO:0007155,GO:0010628,GO:0016020,GO:0034346,GO:1903901,GO:1905636
jg5694.t1	GO:0005509,GO:0005544,GO:0005737,GO:0016020
jg5694.t2	GO:0005509,GO:0005544,GO:0005737,GO:0016020
jg6774.t1	GO:0015149,GO:0015749,GO:0016020,GO:0042593,GO:0090277
jg6422.t1	GO:0005576,GO:0005634,GO:0005739,GO:0005811,GO:0009247,GO:0016020,GO:0016491,GO:0030496,GO:0031093
jg5927.t1	GO:0005634,GO:0035861
jg6891.t1	GO:0000502,GO:0000723,GO:0004843,GO:0004866,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005829,GO:0006275,GO:0006281,GO:0006310,GO:0006338,GO:0006511,GO:0016579,GO:0021670,GO:0030901,GO:0031011,GO:0032435,GO:0045739,GO:0045880,GO:0045893,GO:0045995,GO:0048853,GO:0051726,GO:0060382,GO:0070628,GO:1904507
jg5514.t2	GO:0000978,GO:0000981,GO:0001222,GO:0001228,GO:0005654,GO:0005667,GO:0006355,GO:0006357,GO:0007367,GO:0007435,GO:0007476,GO:0007500,GO:0007507,GO:0009880,GO:0010628,GO:0019900,GO:0035277,GO:0045892,GO:0045893,GO:0045944,GO:0060070,GO:0072091,GO:0140297,GO:1990907
jg6816.t1	GO:0004129,GO:0005739,GO:0005743,GO:0005751,GO:0006123,GO:0031966,GO:0046872
jg5990.t1	NA
jg6899.t1	GO:0005576
jg6153.t1	GO:0003676,GO:0003964,GO:0004190,GO:0004523,GO:0006508,GO:0019028,GO:0042025,GO:0046718,GO:0046740,GO:0046872,GO:0075732
jg5971.t1	GO:0005524,GO:0005886,GO:0045261,GO:0046933,GO:0046961
jg7426.t1	GO:0004731,GO:0005737,GO:0006166
jg7426.t2	GO:0004731,GO:0005737,GO:0006166
jg7204.t1	GO:0001522,GO:0003723,GO:0005697,GO:0005730,GO:0006364,GO:0007004
jg6395.t1	GO:0005427,GO:0005886,GO:0006857,GO:0015031,GO:0016020,GO:0030670,GO:0035442,GO:0035673,GO:0071916,GO:0140206
jg6120.t1	GO:0000045,GO:0000139,GO:0000407,GO:0000422,GO:0005737,GO:0005739,GO:0005768,GO:0005770,GO:0005776,GO:0005789,GO:0005794,GO:0005802,GO:0006914,GO:0008021,GO:0010936,GO:0017128,GO:0031902,GO:0031966,GO:0032688,GO:0034045,GO:0034067,GO:0034497,GO:0043231,GO:0044805,GO:0045087,GO:0055037,GO:0055038,GO:0060349,GO:0097300
jg5798.t1	GO:0000398,GO:0003723,GO:0005634,GO:0071011,GO:0071013
jg5660.t1	GO:0001540,GO:0005737,GO:0006457,GO:0016272,GO:0051082,GO:0051087,GO:0051131,GO:1905907,GO:1990062
jg6387.t1	GO:0003964,GO:0006313
jg5630.t1	NA
jg7252.t1	GO:0000902,GO:0005737,GO:0007286,GO:0008584,GO:0009566,GO:0016567,GO:0048808,GO:0048873
jg7252.t2	GO:0000902,GO:0005737,GO:0007286,GO:0008584,GO:0009566,GO:0016567,GO:0048808,GO:0048873
jg7333.t1	GO:0000786,GO:0003677,GO:0005634,GO:0030527,GO:0046982
jg6137.t1	GO:0009279,GO:0015627,GO:0015628
jg7120.t1	GO:0005509,GO:0005886,GO:0007283,GO:0045938,GO:0048477,GO:0070328
jg5507.t1	GO:0003677,GO:0003950,GO:0005634,GO:0008270,GO:0016779,GO:0051287
jg6710.t1	GO:0005737,GO:0006807,GO:0016151
jg5989.t1	GO:0005509
jg6734.t1	GO:0000978,GO:0000981,GO:0001228,GO:0003326,GO:0003329,GO:0003677,GO:0003682,GO:0003690,GO:0003700,GO:0005634,GO:0005737,GO:0006366,GO:0006913,GO:0007259,GO:0007263,GO:0007423,GO:0009410,GO:0009749,GO:0009952,GO:0021542,GO:0021549,GO:0023019,GO:0030073,GO:0030902,GO:0031018,GO:0035881,GO:0035883,GO:0042593,GO:0043010,GO:0043065,GO:0043565,GO:0045165,GO:0045597,GO:0045664,GO:0045666,GO:0045893,GO:0045944,GO:0046426,GO:0046982,GO:0048562,GO:0048839,GO:0060730,GO:0061564,GO:0061629,GO:0070888,GO:0071333,GO:0090575,GO:1990837,GO:2000675
jg6225.t1	GO:0003677,GO:0005737,GO:0006313,GO:0007059,GO:0009037,GO:0051301
jg6082.t1	GO:0000139,GO:0001816,GO:0001817,GO:0003677,GO:0005125,GO:0005634,GO:0005765,GO:0008270,GO:0009898,GO:0019953,GO:0098559,GO:0098560,GO:0098574
jg6155.t1	
jg5885.t1	GO:0000978,GO:0000981,GO:0003406,GO:0005634,GO:0006357,GO:0042472,GO:0060875
jg5751.t1	GO:0005222,GO:0005249,GO:0005272,GO:0005886,GO:0022843,GO:0030552,GO:0051289,GO:0071320,GO:0071805,GO:0098855
jg5617.t1	GO:0070301
jg5688.t1	GO:0008270,GO:0010125,GO:0035595
jg5688.t2	GO:0008270,GO:0010125,GO:0035595
jg5582.t1	GO:0004252,GO:0005615,GO:0006508,GO:0016504
jg6660.t1	GO:0003735,GO:0005737,GO:0005840,GO:0006412,GO:0019843,GO:1990904
jg5906.t1	GO:0000287,GO:0004019,GO:0005525,GO:0005737,GO:0044208
jg5399.t1	GO:0000139,GO:0005783,GO:0005794,GO:0006888,GO:0006890,GO:0008344,GO:0015031,GO:0021691,GO:0030126,GO:0030137,GO:0043473,GO:0048193,GO:0051645,GO:0051649
jg5966.t1	GO:0003723,GO:0003735,GO:0005743,GO:0005763,GO:0006412
jg5677.t1	GO:0000054,GO:0000460,GO:0000470,GO:0003743,GO:0005634,GO:0005638,GO:0005654,GO:0005730,GO:0005737,GO:0005829,GO:0005882,GO:0006110,GO:0030687,GO:0032868,GO:0035195,GO:0035278,GO:0042256,GO:0042304,GO:0043022,GO:0043023,GO:0045202,GO:0045652,GO:0045727,GO:1902626,GO:2000377
jg6448.t1	GO:0003723,GO:0008408,GO:0008409,GO:0016075
jg5689.t1	GO:0000132,GO:0000776,GO:0000922,GO:0005635,GO:0005737,GO:0005813,GO:0005814,GO:0005819,GO:0005829,GO:0005868,GO:0005874,GO:0005875,GO:0005938,GO:0007097,GO:0007528,GO:0008017,GO:0010457,GO:0015630,GO:0015631,GO:0019901,GO:0021517,GO:0030424,GO:0030904,GO:0031116,GO:0031122,GO:0031252,GO:0032402,GO:0032991,GO:0034454,GO:0035371,GO:0036064,GO:0042147,GO:0042802,GO:0043005,GO:0043025,GO:0045171,GO:0050905,GO:0051081,GO:0051301,GO:0060090,GO:0060236,GO:0061744,GO:0070050,GO:0072686,GO:0090063,GO:0090316,GO:0099738,GO:0120103,GO:1904398,GO:1905515,GO:1990535
jg6135.t1	GO:0005654,GO:0005793,GO:0005794,GO:0005801,GO:0010629,GO:0015297,GO:0015786,GO:0033116,GO:0036066,GO:0045747
jg7134.t1	GO:0004252,GO:0005576,GO:0006508,GO:0030574
jg7017.t1	GO:0000245,GO:0000398,GO:0003729,GO:0005634,GO:0005684
jg6180.t1	GO:0004222,GO:0006508,GO:0008270,GO:0019058
jg6180.t2	GO:0005829,GO:0006897,GO:0015031,GO:0030130,GO:0048471
jg6954.t1	GO:0005739,GO:0005758,GO:0033617
jg5275.t1	GO:0005096,GO:0005829,GO:0006886,GO:0016020,GO:0031267
jg5559.t1	GO:0000139,GO:0003756,GO:0005615,GO:0006457,GO:0016971
jg6238.t1	GO:0005737,GO:0005856,GO:0007015,GO:0051015,GO:0051693
jg6618.t1	GO:0005886,GO:0006869,GO:0008429,GO:0030428,GO:0042391,GO:0042546,GO:0046677,GO:0051286,GO:0071555,GO:0071768
jg7040.t1	GO:0006869,GO:0008289,GO:0016020,GO:0016747
jg5412.t1	GO:0001732,GO:0002191,GO:0003743,GO:0005852,GO:0016282,GO:0033290,GO:0098808
jg6804.t1	GO:0005654,GO:0006814,GO:0015129,GO:0015293,GO:0015718,GO:0016324,GO:0140161
jg6404.t1	GO:0000727,GO:0000811,GO:0001833,GO:0005634,GO:0005654,GO:0005737,GO:0006268,GO:0071162
jg5447.t1	GO:0000166,GO:0005737,GO:0046872,GO:0106411
jg5456.t1	
jg7295.t1	GO:0016020,GO:0045089,GO:0050829
jg7225.t1	GO:0000045,GO:0000139,GO:0000149,GO:0000407,GO:0005484,GO:0005654,GO:0005794,GO:0006886,GO:0006906,GO:0008021,GO:0012505,GO:0016189,GO:0030672,GO:0031083,GO:0031201,GO:0031901,GO:0031982,GO:0032456,GO:0033344,GO:0043231,GO:0045121,GO:0045335,GO:0048278,GO:0050821,GO:0055037,GO:0055038,GO:0098837,GO:0098895,GO:0099072
jg5395.t1	GO:0005219,GO:0006816,GO:0006874,GO:0006936,GO:0016020,GO:0033017,GO:0035206,GO:0060047,GO:0072347
jg5395.t2	GO:0005219,GO:0006816,GO:0006874,GO:0006936,GO:0016020,GO:0033017,GO:0035206,GO:0060047,GO:0072347
jg5395.t3	GO:0005219,GO:0006816,GO:0006874,GO:0006936,GO:0016020,GO:0033017,GO:0035206,GO:0060047,GO:0072347
jg6393.t1	GO:0005427,GO:0005886,GO:0006857,GO:0015031,GO:0016020,GO:0030670,GO:0035442,GO:0035673,GO:0071916,GO:0140206
jg6393.t2	GO:0005427,GO:0005886,GO:0006857,GO:0015031,GO:0016020,GO:0030670,GO:0035442,GO:0035673,GO:0071916,GO:0140206
jg6393.t3	GO:0005427,GO:0005886,GO:0006857,GO:0015031,GO:0016020,GO:0030670,GO:0035442,GO:0035673,GO:0071916,GO:0140206
jg5869.t1	GO:0000165,GO:0005604,GO:0005886,GO:0005911,GO:0005925,GO:0007155,GO:0007254,GO:0007519,GO:0007520,GO:0016020,GO:0017022,GO:0019904,GO:0030507,GO:0030838,GO:0032836,GO:0032991,GO:0035418,GO:0036057,GO:0036060,GO:0042995,GO:0050839,GO:0051393,GO:0072015,GO:0098609
jg5869.t2	GO:0000165,GO:0005604,GO:0005886,GO:0005911,GO:0005925,GO:0007155,GO:0007254,GO:0007519,GO:0007520,GO:0016020,GO:0017022,GO:0019904,GO:0030507,GO:0030838,GO:0032836,GO:0032991,GO:0035418,GO:0036057,GO:0036060,GO:0042995,GO:0050839,GO:0051393,GO:0072015,GO:0098609
jg5985.t1	GO:0005179,GO:0005615,GO:0009409,GO:0014850,GO:0045444,GO:0050728,GO:0050873,GO:0090336,GO:0097009
jg6914.t1	GO:0000711,GO:0000775,GO:0000794,GO:0000795,GO:0000800,GO:0000801,GO:0000802,GO:0001673,GO:0003690,GO:0005654,GO:0005694,GO:0007129,GO:0007130,GO:0007131,GO:0007283,GO:0030849,GO:0032880,GO:0035092,GO:0051026,GO:0051289,GO:0051301,GO:0051878
jg7177.t1	GO:0000724,GO:0002039,GO:0005634,GO:0005654,GO:0005737,GO:0006974,GO:0010212,GO:0016567,GO:0016605,GO:0031297,GO:0031571,GO:0035861,GO:0036297,GO:0046872,GO:0061630,GO:0090734,GO:0097371,GO:2000001
jg6476.t1	GO:0000502,GO:0005634,GO:0010498,GO:0010499,GO:0019774,GO:0034515,GO:0043161,GO:0043248
jg6479.t1	GO:0000070,GO:0000132,GO:0000776,GO:0000922,GO:0005634,GO:0005783,GO:0005789,GO:0005811,GO:0005828,GO:0005829,GO:0006888,GO:0007030,GO:0007080,GO:0007094,GO:0007096,GO:0015031,GO:0034501,GO:0051301,GO:0065003,GO:0070939,GO:1990423
jg5323.t1	GO:0003723,GO:0003724,GO:0003968,GO:0004651,GO:0005524,GO:0005525,GO:0006351,GO:0006370,GO:0006508,GO:0008174,GO:0008234,GO:0016020,GO:0016887,GO:0020002,GO:0039523,GO:0039694,GO:0042025,GO:0044162,GO:0044176,GO:0046872,GO:0140818,GO:1990817
jg5265.t1	GO:0001578,GO:0001750,GO:0001895,GO:0001917,GO:0005813,GO:0005829,GO:0005874,GO:0005929,GO:0008017,GO:0030054,GO:0034451,GO:0036064,GO:0042803,GO:0050908,GO:0060271,GO:0090543,GO:1903564
jg6073.t1	GO:0000398,GO:0003723,GO:0005634,GO:0046540,GO:0071005,GO:0120115
jg5696.t1	GO:0000245,GO:0000398,GO:0004843,GO:0005634,GO:0005654,GO:0005681,GO:0007049,GO:0008270,GO:0046540,GO:0051301
jg5564.t1	GO:0001822,GO:0004957,GO:0005654,GO:0005737,GO:0005829,GO:0006693,GO:0007179,GO:0007565,GO:0007567,GO:0016323,GO:0016404,GO:0016616,GO:0019372,GO:0030728,GO:0032355,GO:0032496,GO:0042802,GO:0043065,GO:0045471,GO:0045786,GO:0051287,GO:0070062,GO:0070403,GO:0070493,GO:0097070,GO:1904707,GO:1905828
jg6364.t1	GO:0003693,GO:0004803,GO:0006313,GO:0015074,GO:0016740,GO:0046872
