gene	OT2_ID	pident	eval	OT2_description
jg10116	XP_022913883.1	100	2.48e-101	CCHC-type zinc finger protein CG3800
jg10117	XP_022913829.1	99.583	0	deoxynucleoside kinase-like
jg10118	XP_022913909.1	97.308	0	cysteine-rich protein 2-binding protein
jg10119	XP_022913922.1	100	0	serine/threonine-protein kinase D1 isoform X1
jg1012	XP_022912683.1	98.347	5.53e-85	putative nuclease HARBI1
jg10120	XP_022913925.1	95.709	0	DNA helicase MCM8-like isoform X2
jg10121	XP_022913892.1	97.473	0	carbonyl reductase [NADPH] 1-like isoform X1
jg10122	XP_022913812.1	100	0	squamous cell carcinoma antigen recognized by T-cells 3
jg10123	XP_022913807.1	100	2.5e-177	protein CDV3 homolog isoform X2
jg10124	XP_022913802.1	100	0	homeobox protein TGIF2-like isoform X2
jg10124.t2	XP_022913802.1	100	0	homeobox protein TGIF2-like isoform X2
jg10125	XP_022913946.1	99.359	1.97e-113	putative gamma-glutamylcyclotransferase CG2811 isoform X2
jg10126	XP_022913836.1	100	0	26S proteasome regulatory subunit 4
jg10127	XP_022913985.1	94.215	3.67e-81	uncharacterized protein LOC111424609
jg10128	XP_022913984.1	100	0	probable DNA-directed RNA polymerase III subunit RPC6
jg10129	XP_022913983.1	99.757	0	leucine-rich repeat protein 1
jg1013	XP_022908872.1	92.857	0	protein ALP1-like
jg10130	XP_022913982.1	99.823	0	nuclear pore complex protein Nup133
jg10131	XP_022913835.1	99.694	0	protein-cysteine N-palmitoyltransferase Rasp
jg10132	XP_022913832.1	98.485	0	bifunctional glutamate/proline--tRNA ligase
jg10133	XP_022913920.1	99.339	0	uncharacterized protein LOC111424568
jg10134	XP_022913917.1	99.558	0	beta-mannosidase
jg10135	XP_022913898.1	100	2.01e-167	BAG family molecular chaperone regulator 2 isoform X2
jg10135.t2	XP_022913897.1	99.563	6.13e-170	BAG family molecular chaperone regulator 2 isoform X1
jg10135.t3	XP_022913901.1	100	6.84e-161	BAG family molecular chaperone regulator 2 isoform X4
jg10136	XP_022913986.1	99.725	0	protein espinas-like isoform X1
jg10137	XP_022913986.1	99.648	0	protein espinas-like isoform X1
jg10138	XP_022913989.1	98.874	0	cytosolic beta-glucosidase-like
jg10139	XP_022913993.1	98.915	0	myrosinase 1-like isoform X2
jg1014	XP_022903958.1	99.524	7.62e-157	uncharacterized protein LOC111416222
jg10140	XP_022913904.1	100	0	tafazzin homolog
jg10141	XP_022913826.1	100	0	endoplasmic reticulum metallopeptidase 1-like
jg10142	XP_022913839.1	100	0	XK-related protein 7-like
jg10143	XP_022913962.1	100	0	zinc finger protein ZPR1
jg10144	XP_022913971.1	100	2.08e-135	dynein light chain 1, axonemal
jg10145	XP_022913960.1	100	0	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform isoform X4
jg10146	XP_022913913.1	98.677	0	ribosome biogenesis protein NSA1
jg10147	XP_022913831.1	100	4.59e-120	28S ribosomal protein S18a, mitochondrial
jg10148	XP_022913907.1	99.322	0	uncharacterized protein LOC111424557
jg10149	XP_022913853.1	99.545	0	N-acetyltransferase ESCO2
jg10150	XP_022913894.1	100	1.85e-62	probable splicing factor 3B subunit 5
jg10151	XP_022913906.1	98.758	0	GPI ethanolamine phosphate transferase 2
jg10152	XP_022913780.1	99.688	0	UPF0505 protein C16orf62 homolog
jg10153	XP_022913781.1	98.945	0	flap endonuclease 1
jg10154	XP_022913770.1	100	0	ATP-dependent zinc metalloprotease YME1 homolog
jg10155	XP_022913769.1	99.691	0	nuclear export mediator factor NEMF homolog
jg10156	XP_022913849.1	99.954	0	myosin-I heavy chain
jg10157	XP_022913851.1	100	0	tRNA selenocysteine 1-associated protein 1
jg10158	XP_022913850.1	99.642	0	uncharacterized protein LOC111424525
jg10159	XP_022913950.1	99.456	0	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like isoform X2
jg10159.t2	XP_022913949.1	99.457	0	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like isoform X1
jg10160	XP_022913951.1	99.497	9.12e-149	uncharacterized protein LOC111424586 isoform X1
jg10162	XP_022913950.1	91.429	1.22e-37	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like isoform X2
jg10164	XP_022913902.1	100	0	LHFPL tetraspan subfamily member 3 protein
jg10165	XP_022913818.1	96.821	0	transcription factor TFIIIB component B'' homolog
jg10166	XP_022913888.1	100	0	paired box protein Pax-3-A isoform X2
jg10167	XP_022913953.1	99.718	0	proline-rich protein 4
jg10168	XP_022913882.1	100	0	homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein
jg10169	XP_022913912.1	100	0	facilitated trehalose transporter Tret1-like
jg1017	XP_022909002.1	98.496	2.15e-96	uncharacterized protein LOC111420274
jg10170	XP_022913879.1	99.353	0	phospholipid phosphatase 1-like isoform X4
jg10171	XP_022913783.1	98.347	0	proteasome subunit alpha type-5
jg10172	XP_022913919.1	100	0	ataxin-10
jg10173	XP_022913837.1	100	0	protein Wnt-7b isoform X1
jg10174	XP_022913785.1	99.809	0	trichohyalin isoform X2
jg10174.t2	XP_022913785.1	100	0	trichohyalin isoform X2
jg10175	XP_022913790.1	100	0	protein prune homolog 2 isoform X2
jg10175.t2	XP_022913789.1	100	0	protein prune homolog 2 isoform X1
jg10176	XP_022913794.1	96.479	0	TIMELESS-interacting protein
jg10177	XP_022913792.1	100	0	protein lunapark-A isoform X1
jg10177.t2	XP_022913793.1	100	0	protein lunapark isoform X2
jg10178	XP_022913884.1	100	0	3-hydroxyisobutyrate dehydrogenase, mitochondrial
jg10179	XP_022913816.1	100	1.7e-133	dynactin subunit 6
jg10180	XP_022913772.1	100	0	homeobox protein unplugged-like
jg10181	XP_022913779.1	100	0	gustatory and odorant receptor 22-like, partial
jg10182	XP_022913821.1	99.836	0	thrombospondin type-1 domain-containing protein 4 isoform X1
jg10182.t2	XP_022913822.1	99.517	0	thrombospondin type-1 domain-containing protein 4 isoform X2
jg10182.t3	XP_022913821.1	98.814	0	thrombospondin type-1 domain-containing protein 4 isoform X1
jg10183	XP_022913823.1	100	0	uncharacterized protein LOC111424502 isoform X1
jg10184	XP_022913825.1	100	1.53e-92	longitudinals lacking protein-like
jg10185	XP_022913830.1	100	0	serine--tRNA ligase, cytoplasmic
jg10186	XP_022913778.1	100	0	uncharacterized protein LOC111424472
jg10187	XP_022913931.1	99.096	0	chondroadherin-like
jg10188	XP_022913810.1	100	0	sodium channel protein 60E-like isoform X2
jg10189	XP_022913947.1	100	0	histone-lysine N-methyltransferase PRDM9
jg10190	XP_022913774.1	99.828	0	protein argonaute-2-like isoform X2
jg10191	XP_022913933.1	99.49	0	uncharacterized protein LOC111424575 isoform X1
jg10192	XP_022908338.1	30.918	8.95e-23	uncharacterized protein LOC111419710, partial
jg10193	XP_022913934.1	100	0	uncharacterized protein LOC111424575 isoform X2
jg10194	XP_022913905.1	96.614	0	claspin-like
jg10195	XP_022913872.1	99.802	0	angiogenic factor with G patch and FHA domains 1
jg10195.t2	XP_022913872.1	90.909	0	angiogenic factor with G patch and FHA domains 1
jg10196	XP_022913860.1	100	0	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 isoform X6
jg10196.t2	XP_022913856.1	100	0	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 isoform X3
jg10196.t3	XP_022913856.1	100	0	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 isoform X3
jg10196.t4	XP_022913856.1	100	0	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 isoform X3
jg10197	XP_022913871.1	100	0	N-glycosylase/DNA lyase
jg10198	XP_022913868.1	99.541	0	protein NEDD1-like
jg10199	XP_022913939.1	99.934	0	zinc finger protein 608-like isoform X4
jg102	XP_022902723.1	99.614	0	uncharacterized protein LOC111415336
jg10200	XP_022913890.1	100	0	neuronal acetylcholine receptor subunit non-alpha-2-like
jg10201	XP_022913895.1	100	0	follistatin-A
jg10202	XP_022913875.1	100	0	proteasomal ubiquitin receptor ADRM1-B-like
jg10203	XP_022913974.1	100	0	E3 SUMO-protein ligase PIAS2 isoform X1
jg10204	XP_022913972.1	99.85	0	gamma-tubulin complex component 4
jg10205	XP_022913973.1	99.697	0	ankyrin repeat and LEM domain-containing protein 1
jg10206	XP_022913980.1	100	0	hydroxymethylglutaryl-CoA synthase 1
jg10207	XP_022913978.1	99.819	0	digestive cysteine proteinase 1
jg10208	XP_022913981.1	100	0	uncharacterized protein LOC111424605
jg10209	XP_022913777.1	99.889	0	uncharacterized protein LOC111424471
jg10211	XP_022913885.1	100	0	MAU2 chromatid cohesion factor homolog
jg10212	XP_022913842.1	99.485	0	bromodomain adjacent to zinc finger domain protein 1A isoform X2
jg10213	XP_022913848.1	100	9.98e-145	ATP synthase subunit s, mitochondrial
jg10214	XP_022913843.1	99.56	0	CCR4-NOT transcription complex subunit 11
jg10215	XP_022913845.1	100	0	transcriptional adapter 2B isoform X2
jg10216	XP_022913847.1	100	1.1e-166	RRP15-like protein
jg10217	XP_022913891.1	100	4.39e-130	uncharacterized protein LOC111424545
jg10218	XP_022913954.1	100	0	forkhead box protein D3-like
jg10219	XP_022913045.1	98.911	0	esterase FE4-like
jg10220	XP_022912979.1	100	0	uncharacterized protein C15orf41 homolog
jg10221	XP_022912978.1	99.446	0	nucleolar complex protein 3 homolog
jg10222	XP_022912975.1	97.361	0	far upstream element-binding protein 3 isoform X1
jg10223	XP_022912969.1	100	0	protein 4.1 homolog isoform X1
jg10224	XP_022913103.1	99.797	0	protein DEK
jg10225	XP_022913104.1	100	0	eukaryotic translation initiation factor 2 subunit 1
jg10226	XP_022913106.1	100	1.12e-85	40S ribosomal protein S20
jg10227	XP_022913002.1	100	0	guanine nucleotide-binding protein subunit beta-5
jg10228	XP_022913031.1	100	0	transcription initiation protein SPT3 homolog
jg10229	XP_022912966.1	100	0	neuroplastin
jg1023	XP_022909653.1	99.107	9.61e-77	leiomodin-3-like
jg10230	XP_022913009.1	100	0	DNA repair protein RAD51 homolog 1
jg10231	XP_022912916.1	99.725	0	peroxisomal multifunctional enzyme type 2-like isoform X1
jg10233	XP_022913064.1	100	0	maternal protein exuperantia
jg10234	XP_022913107.1	100	1.48e-110	YY1-associated factor 2
jg10235	XP_022913025.1	94.831	0	UDP-glucuronosyltransferase 2B4-like
jg10236	XP_022913011.1	100	0	F-box/LRR-repeat protein 14
jg10238	XP_022912996.1	100	0	WD repeat-containing protein 37
jg10239	XP_022912997.1	99.335	0	fatty acid synthase-like
jg1024	XP_022917793.1	34.574	4.99e-23	uncharacterized protein LOC111427060
jg10240	XP_022913065.1	100	0	synaptic vesicle 2-related protein
jg10241	XP_022913066.1	97.808	0	N-acetylneuraminate lyase-like
jg10242	XP_022913067.1	100	6.36e-174	rab-like protein 3
jg10243	XP_022913069.1	100	6.19e-154	ras-related protein Rab-8A isoform X2
jg10244	XP_022913056.1	99.63	0	diphthine methyl ester synthase
jg10245	XP_022912892.1	100	0	structural maintenance of chromosomes protein 3 isoform X2
jg10246	XP_022913059.1	97.97	0	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like
jg10247	XP_022913058.1	98.667	0	uncharacterized protein LOC111423907
jg10248	XP_022912960.1	100	0	eyes absent homolog 2 isoform X1
jg10248.t2	XP_022912961.1	100	0	developmental protein eyes absent isoform X2
jg10249	XP_022912924.1	100	6.93e-135	cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like
jg10250	XP_022913051.1	100	6.01e-58	CDC42 small effector protein homolog
jg10251	XP_022913047.1	93.701	4.41e-173	zinc finger protein 585B-like
jg10252	XP_022912897.1	100	0	glucose-6-phosphate isomerase
jg10253	XP_022912896.1	100	0	39S ribosomal protein L39, mitochondrial
jg10255	XP_022912956.1	100	2.03e-90	trafficking protein particle complex subunit 2-like protein
jg10256	XP_022912980.1	100	0	XK-related protein 6-like
jg10257	XP_022912913.1	100	0	integrator complex subunit 7
jg10258	XP_022912914.1	100	3.58e-162	uncharacterized protein LOC111423791
jg10259	XP_022913005.1	100	0	nuclear transcription factor Y subunit gamma-like isoform X2
jg10259.t2	XP_022913004.1	100	0	nuclear transcription factor Y subunit gamma-like isoform X1
jg10260	XP_022913088.1	100	0	abscission/NoCut checkpoint regulator
jg10261	XP_022913089.1	100	2.38e-143	39S ribosomal protein L40, mitochondrial
jg10262	XP_022913086.1	99.023	0	probable ATP-dependent RNA helicase Dbp73D
jg10263	XP_022913071.1	99.556	0	uncharacterized protein CG45076-like isoform X1
jg10263.t2	XP_022913082.1	99.145	0	uncharacterized protein CG45076-like isoform X10
jg10263.t3	XP_022913080.1	99.787	0	uncharacterized abhydrolase domain-containing protein DDB_G0269086-like isoform X8
jg10264	XP_022913070.1	100	1.75e-81	uncharacterized protein LOC111423917
jg10265	XP_022913102.1	100	0	adenosine receptor A2b-like
jg10266	XP_022912999.1	100	0	stress response protein nst1 isoform X1
jg10267	XP_022912995.1	100	0	uncharacterized protein LOC111423845
jg10267.t2	XP_022912995.1	98.667	1.74e-107	uncharacterized protein LOC111423845
jg10268	XP_022912994.1	98.993	0	dentin sialophosphoprotein-like
jg10269	XP_022913062.1	100	7.23e-63	uncharacterized protein LOC111423910
jg1027	XP_022904744.1	24.87	5.92e-21	probable E3 ubiquitin-protein ligase bre1 isoform X1
jg10270	XP_022913061.1	100	0	proteasome activator complex subunit 4A-like
jg10271	XP_022913028.1	98.689	0	uncharacterized protein LOC111423877 isoform X1
jg10272	XP_022912906.1	99.663	0	uncharacterized protein LOC111423786
jg10273	XP_022912907.1	100	0	transmembrane protein 192 isoform X1
jg10274	XP_022912911.1	100	1.17e-117	uncharacterized protein LOC111423788
jg10275	XP_022912905.1	98.933	0	digestive organ expansion factor homolog
jg10276	XP_022912968.1	100	0	uncharacterized protein LOC111423826
jg10277	XP_022912899.1	99.825	0	AT-rich interactive domain-containing protein 4B isoform X2
jg10278	XP_022912460.1	100	8.99e-90	uncharacterized protein LOC111423465
jg10279	XP_022912945.1	99.644	0	uncharacterized protein LOC111423808 isoform X2
jg1028	XP_022907595.1	48.358	2.71e-110	uncharacterized protein K02A2.6-like
jg10280	XP_022912940.1	99.455	0	cGMP-dependent 3',5'-cyclic phosphodiesterase-like
jg10281	XP_022912947.1	100	0	cyclin-dependent kinase 1
jg10282	XP_022912940.1	99.598	9.31e-176	cGMP-dependent 3',5'-cyclic phosphodiesterase-like
jg10283	XP_022912948.1	100	2.63e-148	hemK methyltransferase family member 2
jg10284	XP_022912949.1	100	1.73e-100	SNAPIN protein homolog
jg10285	XP_022912937.1	98.304	0	multiple PDZ domain protein-like isoform X2
jg10287	XP_022912951.1	99.275	1.1e-99	uncharacterized protein LOC111423812
jg10288	XP_022912953.1	98.387	4.49e-92	uncharacterized protein LOC111423814
jg10289	XP_022912953.1	73.387	7.9e-66	uncharacterized protein LOC111423814
jg1029	XP_022921165.1	29.97	8.04e-46	uncharacterized protein LOC111429474
jg10290	XP_022912953.1	66.129	1.9e-60	uncharacterized protein LOC111423814
jg10291	XP_022912953.1	51.852	1.08e-32	uncharacterized protein LOC111423814
jg10292	XP_022912954.1	61.062	4.29e-43	uncharacterized protein LOC111423815
jg10293	XP_022912954.1	94.643	1.96e-76	uncharacterized protein LOC111423815
jg10294	XP_022912952.1	99.206	2.04e-90	uncharacterized protein LOC111423813
jg10296	XP_022912936.1	97.49	0	multiple PDZ domain protein-like isoform X1
jg10297	XP_022912941.1	99.551	0	tubulin beta-4B chain-like
jg10298	XP_022913057.1	100	0	tubulin beta-4B chain-like
jg10299	XP_022913053.1	99.689	0	nuclear pore membrane glycoprotein 210 isoform X2
jg10299.t2	XP_022913052.1	99.699	0	nuclear pore membrane glycoprotein 210 isoform X1
jg10299.t3	XP_022913052.1	100	0	nuclear pore membrane glycoprotein 210 isoform X1
jg103	XP_022902729.1	99.525	0	zinc finger and BTB domain-containing protein 8A
jg1030	XP_022911388.1	28.906	1.86e-22	myosin-2 heavy chain-like
jg10300	XP_022913054.1	100	0	steroid hormone receptor ERR1 isoform X1
jg10301	XP_022913007.1	99.41	0	retinol dehydrogenase 11-like
jg10302	XP_022913008.1	99.385	0	retinol dehydrogenase 12-like
jg10303	XP_022913034.1	99.788	0	facilitated trehalose transporter Tret1-like
jg10304	XP_022913033.1	99.402	0	facilitated trehalose transporter Tret1-like
jg10305	XP_022913036.1	100	0	facilitated trehalose transporter Tret1-like
jg10306	XP_022913035.1	98.707	0	facilitated trehalose transporter Tret1-like
jg10307	XP_022913037.1	99.565	0	facilitated trehalose transporter Tret1-like
jg10308	XP_022913023.1	99.565	0	facilitated trehalose transporter Tret1-like
jg10309	XP_022913040.1	95.283	1.76e-72	uncharacterized protein LOC111423889
jg10310	XP_022913043.1	80.769	1.86e-57	uncharacterized protein LOC111423891
jg10310.t2	XP_022913043.1	85	2.55e-72	uncharacterized protein LOC111423891
jg10311	XP_022913038.1	98.4	1.42e-90	uncharacterized protein LOC111423888
jg10312	XP_022913038.1	80.8	8.45e-73	uncharacterized protein LOC111423888
jg10313	XP_022913038.1	80	5.22e-72	uncharacterized protein LOC111423888
jg10314	XP_022913038.1	65.079	2.11e-52	uncharacterized protein LOC111423888
jg10315	XP_022913042.1	99.153	2.06e-85	uncharacterized protein LOC111423890
jg10316	XP_022912888.1	99.16	1.8e-86	uncharacterized protein LOC111423773
jg1032	XP_022907541.1	46.087	1.46e-31	uncharacterized protein LOC111419033
jg10322	XP_022912921.1	100	0	uncharacterized protein LOC111423796
jg10323	XP_022912922.1	99.167	4.7e-87	uncharacterized protein LOC111423797
jg10324	XP_022912923.1	97.436	5.41e-82	uncharacterized protein LOC111423798
jg10325	XP_022912923.1	70.085	7.51e-56	uncharacterized protein LOC111423798
jg10326	XP_022912918.1	100	0	facilitated trehalose transporter Tret1-like
jg10328	XP_022913020.1	98.944	0	chymase-like
jg10329	XP_022913019.1	98.667	0	uncharacterized protein LOC111423868
jg10330	XP_022913019.1	99.237	0	uncharacterized protein LOC111423868
jg10331	XP_022913046.1	100	2.28e-74	4-coumarate--CoA ligase 1-like
jg10332	XP_022913046.1	100	0	4-coumarate--CoA ligase 1-like
jg10333	XP_022913010.1	94.61	0	4-coumarate--CoA ligase 1-like
jg10334	XP_022913018.1	97.556	0	4-coumarate--CoA ligase 1-like
jg10335	XP_022913006.1	99.257	0	4-coumarate--CoA ligase 1-like
jg10336	XP_022913090.1	99.259	0	luciferin 4-monooxygenase-like
jg10337	XP_022913032.1	100	0	3'(2'),5'-bisphosphate nucleotidase 1
jg10338	XP_022912903.1	99.815	0	neurexin-1-like isoform X4
jg10339	XP_022912926.1	100	0	vacuolar protein sorting-associated protein 35
jg10340	XP_022913027.1	100	1.88e-86	succinate dehydrogenase assembly factor 3, mitochondrial
jg10341	XP_022912989.1	100	0	uncharacterized protein LOC111423838 isoform X1
jg10342	XP_022912987.1	100	0	metaxin-2-like isoform X4
jg10344	XP_022912987.1	100	6.25e-78	metaxin-2-like isoform X4
